id,name,region,amount,active
1,Alice,EU,137.45,true
2,Bob,US,274.90,true
3,Carol,APAC,412.35,true
4,David,LATAM,549.80,true
5,Elena,EU,687.25,true
6,Frank,US,824.70,true
7,Grace,APAC,962.15,false
8,Hugo,LATAM,1099.60,true
9,Irene,EU,1237.05,true
10,Jack,US,1374.50,true
11,Karen,APAC,1511.95,true
12,Luis,LATAM,1649.40,true
13,Maria,EU,1786.85,true
14,Nina,US,1924.30,false
15,Oscar,APAC,61.75,true
16,Paula,LATAM,199.20,true
17,Quinn,EU,336.65,true
18,Rosa,US,474.10,true
19,Samuel,APAC,611.55,true
20,Tania,LATAM,749.00,true
21,Alice,EU,886.45,false
22,Bob,US,1023.90,true
23,Carol,APAC,1161.35,true
24,David,LATAM,1298.80,true
25,Elena,EU,1436.25,true
26,Frank,US,1573.70,true
27,Grace,APAC,1711.15,true
28,Hugo,LATAM,1848.60,false
29,Irene,EU,1986.05,true
30,Jack,US,123.50,true
31,Karen,APAC,260.95,true
32,Luis,LATAM,398.40,true
33,Maria,EU,535.85,true
34,Nina,US,673.30,true
35,Oscar,APAC,810.75,false
36,Paula,LATAM,948.20,true
37,Quinn,EU,1085.65,true
38,Rosa,US,1223.10,true
39,Samuel,APAC,1360.55,true
40,Tania,LATAM,1498.00,true
41,Alice,EU,1635.45,true
42,Bob,US,1772.90,false
43,Carol,APAC,1910.35,true
44,David,LATAM,47.80,true
45,Elena,EU,185.25,true
46,Frank,US,322.70,true
47,Grace,APAC,460.15,true
48,Hugo,LATAM,597.60,true
49,Irene,EU,735.05,false
50,Jack,US,872.50,true
51,Karen,APAC,1009.95,true
52,Luis,LATAM,1147.40,true
53,Maria,EU,1284.85,true
54,Nina,US,1422.30,true
55,Oscar,APAC,1559.75,true
56,Paula,LATAM,1697.20,false
57,Quinn,EU,1834.65,true
58,Rosa,US,1972.10,true
59,Samuel,APAC,109.55,true
60,Tania,LATAM,247.00,true
